initiative,owner,start_date,end_date,progress,status,risk_level
Organization Health Assessment,COO,2026-07-01,2026-11-08,61,In Progress,Low
KPI Cascade Program,HRD,2026-07-13,2026-10-10,58,In Progress,Low
Leadership Pipeline,COO,2026-07-25,2026-11-18,46,In Progress,Low
AI Dashboard Roadmap,HRD,2026-08-06,2026-09-21,11,In Progress,Low
Green Culture Program,CTO,2026-08-18,2026-10-19,25,In Progress,Low
Process Standardization,HRD,2026-08-30,2026-12-27,31,In Progress,Low
Organization Memory,HRD,2026-09-11,2026-12-07,15,In Progress,Low
Learning Academy,HRD,2026-09-23,2027-02-16,26,In Progress,Low
Workforce Planning,HRD,2026-10-05,2027-01-06,6,Delayed,High
ONA Pilot,CTO,2026-10-17,2026-12-25,69,In Progress,Low
Data Governance,CFO,2026-10-29,2027-04-20,49,In Progress,Low
Decision Center,HRD,2026-11-10,2027-05-03,82,In Progress,Low
Document Intelligence,HRD,2026-11-22,2027-05-08,79,In Progress,Low
Process Mining,COO,2026-12-04,2027-01-21,80,In Progress,Low
Multi-Agent Pilot,CEO,2026-12-16,2027-04-08,52,In Progress,Low
